Keyword,SERP features,Volume,KD,CPC,legalbet.ro/: URL,legalbet.ro/: Organic Position,legalbet.ro/: Organic Traffic,legalbet.ro/: Ad title,legalbet.ro/: Ad display URL,legalbet.ro/: Ad description,legalbet.ro/: Ad block,legalbet.ro/: Ad position,legalbet.ro/: Paid traffic,pariurix.com/: URL,pariurix.com/: Organic Position,pariurix.com/: Organic Traffic,pariurix.com/: Ad title,pariurix.com/: Ad display URL,pariurix.com/: Ad description,pariurix.com/: Ad block,pariurix.com/: Ad position,pariurix.com/: Paid traffic,beturi.ro/: URL,beturi.ro/: Organic Position,beturi.ro/: Organic Traffic,beturi.ro/: Ad title,beturi.ro/: Ad display URL,beturi.ro/: Ad description,beturi.ro/: Ad block,beturi.ro/: Ad position,beturi.ro/: Paid traffic,pontul-zilei.com/: URL,pontul-zilei.com/: Organic Position,pontul-zilei.com/: Organic Traffic,pontul-zilei.com/: Ad title,pontul-zilei.com/: Ad display URL,pontul-zilei.com/: Ad description,pontul-zilei.com/: Ad block,pontul-zilei.com/: Ad position,pontul-zilei.com/: Paid traffic,10pariuri.ro/: URL,10pariuri.ro/: Organic Position,10pariuri.ro/: Organic Traffic,10pariuri.ro/: Ad title,10pariuri.ro/: Ad display URL,10pariuri.ro/: Ad description,10pariuri.ro/: Ad block,10pariuri.ro/: Ad position,10pariuri.ro/: Paid traffic,biletu-zilei.com/: URL,biletu-zilei.com/: Organic Position,biletu-zilei.com/: Organic Traffic,biletu-zilei.com/: Ad title,biletu-zilei.com/: Ad display URL,biletu-zilei.com/: Ad description,biletu-zilei.com/: Ad block,biletu-zilei.com/: Ad position,biletu-zilei.com/: Paid traffic,supercazino.ro/: URL,supercazino.ro/: Organic Position,supercazino.ro/: Organic Traffic,supercazino.ro/: Ad title,supercazino.ro/: Ad display URL,supercazino.ro/: Ad description,supercazino.ro/: Ad block,supercazino.ro/: Ad position,supercazino.ro/: Paid traffic,jucatorul.ro/: URL,jucatorul.ro/: Organic Position,jucatorul.ro/: Organic Traffic,jucatorul.ro/: Ad title,jucatorul.ro/: Ad display URL,jucatorul.ro/: Ad description,jucatorul.ro/: Ad block,jucatorul.ro/: Ad position,jucatorul.ro/: Paid traffic,xbets.ro/: URL,xbets.ro/: Organic Position,xbets.ro/: Organic Traffic,xbets.ro/: Ad title,xbets.ro/: Ad display URL,xbets.ro/: Ad description,xbets.ro/: Ad block,xbets.ro/: Ad position,xbets.ro/: Paid traffic,pariuri1x2.ro/: URL,pariuri1x2.ro/: Organic Position,pariuri1x2.ro/: Organic Traffic,pariuri1x2.ro/: Ad title,pariuri1x2.ro/: Ad display URL,pariuri1x2.ro/: Ad description,pariuri1x2.ro/: Ad block,pariuri1x2.ro/: Ad position,pariuri1x2.ro/: Paid traffic,casepariurionline.ro/: URL,casepariurionline.ro/: Organic Position,casepariurionline.ro/: Organic Traffic,casepariurionline.ro/: Ad title,casepariurionline.ro/: Ad display URL,casepariurionline.ro/: Ad description,casepariurionline.ro/: Ad block,casepariurionline.ro/: Ad position,casepariurionline.ro/: Paid traffic,case-pariuri.ro/: URL,case-pariuri.ro/: Organic Position,case-pariuri.ro/: Organic Traffic,case-pariuri.ro/: Ad title,case-pariuri.ro/: Ad display URL,case-pariuri.ro/: Ad description,case-pariuri.ro/: Ad block,case-pariuri.ro/: Ad position,case-pariuri.ro/: Paid traffic,Updated
fortuna casino,Sitelinks,47000,46,0.53,,,,,,,,,,https://pariurix.com/casino/recenzii/fortuna-casino,7,2552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17 11:49:23
don ro,Sitelinks,45000,41,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/don-ro-casino-bonus-fara-depunere/,7,2184,,,,,,,https://10pariuri.ro/pareri/don-ro-pareri/,10,1178,,,,,,,https://biletu-zilei.com/recenzii/don-pareri/,13,564,,,,,,,,,,,,,,,,https://jucatorul.ro/cazino/recenzii/don-casino/,12,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 04:16:59
cehia keno,,43000,1,0.38,,,,,,,,,,https://pariurix.com/casino/loto/cehia-keno.html,17,222,,,,,,,https://beturi.ro/ghid-pariuri/loto-cehia-12-60/,15,347,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/loto-cehia/,10,1058,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-cehia-keno-12-60/,18,177,,,,,,,https://www.supercazino.ro/cehia-keno/,8,1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 04:17:29
winboss,"AI Overview, Thumbnail",27000,68,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/agentie/winboss/,13,0,,,,,,,https://10pariuri.ro/bonus-fara-depunere/winboss-bonus-fara-depunere/,9,0,,,,,,,,,,,,,,,,https://www.supercazino.ro/winboss-casino/,12,0,,,,,,,https://jucatorul.ro/cazino/recenzii/winboss/jocuri/,3,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 10:59:39
million casino,"AI Overview, Thumbnail",27000,52,1.13,,,,,,,,,,https://pariurix.com/casino/recenzii/million-casino,2,3234,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/agentie/million/,5,1656,,,,,,,,,,,,,,,,,,,,,,,,,https://www.supercazino.ro/million-casino/,4,2070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24 16:43:18
casino,"Top ads, Paid sitelinks, Bottom ads, Video preview",24000,81,2.56,,,,,,,,,,https://pariurix.com/casino,8,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20 23:16:29
get bet,Sitelinks,24000,37,0.49,,,,,,,,,,https://pariurix.com/casino/recenzii/gets-bet-casino,3,149,,,,,,,https://beturi.ro/aff/sp-getsbet/,11,0,,,,,,,https://www.pontul-zilei.com/agentie/gets-bet/,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26 03:57:57
vlad cazino,Sitelinks,24000,38,1.02,,,,,,,,,,https://pariurix.com/casino/recenzii/vlad-cazino,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.supercazino.ro/vlad-cazino/,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-19 03:05:03
king casino,Sitelinks,20000,34,0.54,,,,,,,,,,https://pariurix.com/casino/recenzii/king-casino,2,4490,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/agentie/kingcasino/,8,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 12:02:36
favbet,Sitelinks,19000,38,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/favbet-casino/,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22 05:49:52
poziții la liga,"Knowledge panel, Image pack",18000,2,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xbets.ro/pozitii-laliga/,6,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20 10:59:22
efortuna,Video preview,17000,55,0.16,,,,,,,,,,https://pariurix.com/agentii/recenzii/fortuna,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22 00:57:46
loto cehia,,16000,4,0.31,,,,,,,,,,https://pariurix.com/casino/loto/cehia-keno.html,18,67,,,,,,,https://beturi.ro/ghid-pariuri/loto-cehia-12-60/,13,203,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/loto-cehia/,9,497,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-cehia-keno-12-60/,15,130,,,,,,,https://www.supercazino.ro/cehia-keno/,8,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18 02:53:34
loto polonia forum,Sitelinks,15000,27,0.43,,,,,,,,,,https://pariurix.com/discutii/discutii-polonia-multi-1-si-2-stratgii-de-castig-sfaturi-etc-57653.html,9,636,,,,,,,https://beturi.ro/ghid-pariuri/polonia-multi/,13,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-19 00:03:12
italia 20/90,"AI Overview, Thumbnail",14000,32,0.72,,,,,,,,,,https://pariurix.com/casino/loto/italia-keno.html,17,0,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/articole-pariuri-sportive/loto-italia-keno-afla-acum-cand-si-unde-poti-paria/,29,0,,,,,,,https://10pariuri.ro/loto/italia-loto-keno-20-90/,12,0,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-italia-keno-10e-20-90/,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22 06:56:13
win for life,Video preview,13000,22,0.80,,,,,,,,,,https://pariurix.com/casino/loto/win-for-life.html,15,0,,,,,,,https://beturi.ro/ghid-pariuri/loto-win-for-life/,12,0,,,,,,,https://www.pontul-zilei.com/articole-pariuri-sportive/win-for-life-loto-italia-strategii-rezultate-combinatii-sfaturi/,28,0,,,,,,,https://10pariuri.ro/articole-utile-pariuri/win-for-life-vezi-aici-cum-iti-poti-dubla-banii/,20,0,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-italia-win-for-life-10-20/,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24 13:05:43
betmen,Sitelinks,13000,42,0.04,,,,,,,,,,https://pariurix.com/agentii/recenzii/betmen,4,1,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/agentie/betmen/,9,0,,,,,,,https://10pariuri.ro/pareri/betmen-pareri/,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22 11:18:21
casa pariurilor casino,,13000,66,0.89,,,,,,,,,,https://pariurix.com/casino/recenzii/casa-pariurilor-casino,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 17:10:01
betano casino,Sitelinks,12000,76,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/blog/betano-casino/,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20 23:17:20
polonia multi multi,,12000,50,0.37,,,,,,,,,,https://pariurix.com/casino/loto/polonia-multi-20-80.html,20,0,,,,,,,https://beturi.ro/ghid-pariuri/polonia-multi/,27,0,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-polonia-multi/,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-16 20:55:02
princess,"Sitelinks, Video preview",12000,63,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/recenzii/pareri-princess-casino/,8,29,,,,,,,,,,,,,,,,https://jucatorul.ro/cazino/recenzii/princess-casino/contact/,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-10 15:42:13
vbet casino,Sitelinks,11000,63,0.59,,,,,,,,,,,,,,,,,,,https://beturi.ro/recenzie/vbet-casino/,7,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22 08:01:50
loto italia 20 din 90,,11000,31,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/articole-pariuri-sportive/loto-italia-keno-afla-acum-cand-si-unde-poti-paria/,18,43,,,,,,,https://10pariuri.ro/loto/italia-loto-keno-20-90/,8,405,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-italia-keno-10e-20-90/,9,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17 21:30:38
publicwin,,11000,54,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/metode-contact-cazino/publicwin-contact/,4,0,,,,,,,https://www.supercazino.ro/publicwin/,7,0,,,,,,,https://jucatorul.ro/cazino/recenzii/publicwin-casino/contact/,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20 15:58:59
slovacia keno,,11000,15,0.36,,,,,,,,,,,,,,,,,,,https://beturi.ro/ghid-pariuri/slovacia-keno/,9,0,,,,,,,https://www.pontul-zilei.com/articole-pariuri-sportive/slovacia-keno-loto-strategii-rezultate-scheme-combinatii-live-sfaturi-de-la-jucatori/,17,0,,,,,,,https://10pariuri.ro/loto/loto-slovacia-keno-20-80/,18,0,,,,,,,https://biletu-zilei.com/loterii-internationale/slovacia-keno/,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 04:18:53
loto letonia,,11000,0,0.22,,,,,,,,,,https://pariurix.com/casino/loto/letonia-keno.html,6,3,,,,,,,https://beturi.ro/ghid-pariuri/loto-keno-letonia/,17,0,,,,,,,https://www.pontul-zilei.com/articole-pariuri-sportive/letonia-keno-loto-strategii-rezultate-scheme-combinatii-live-sfaturi-de-la-jucatori/,27,0,,,,,,,https://10pariuri.ro/loto/loto-letonia-keno-20-din-62/,9,0,,,,,,,https://biletu-zilei.com/loterii-internationale/letonia-keno/,24,0,,,,,,,https://www.supercazino.ro/loto-letonia/,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-20 07:16:59
poziții fc botoșani vs „u” cluj,"AI Overview, Video preview",11000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xbets.ro/ponturi/fotbal/liga-1/fc-botosani-u-cluj-20-02-2026/,7,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 04:18:49
polonia keno,,11000,28,0.32,,,,,,,,,,https://pariurix.com/casino/loto/polonia-keno.html,3,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://biletu-zilei.com/loterii-internationale/polonia-keno/,8,0,,,,,,,https://www.supercazino.ro/loto-polonia/,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18 02:57:56
elite slots,"Sitelinks, People also ask",11000,52,0.61,,,,,,,,,,https://pariurix.com/casino/recenzii/eliteslots-casino,2,1638,,,,,,,,,,,,,,,,https://www.pontul-zilei.com/agentie/elite-slots/,6,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08 09:06:54
pacanele demo,"AI Overview, Thumbnail",10000,74,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.supercazino.ro/sloturi-gratis/,23,14,,,,,,,https://jucatorul.ro/jocuri/pacanele/recenzii/,7,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24 13:04:52
player,"AI Overview, Thumbnail",9900,41,0.42,,,,,,,,,,https://pariurix.com/casino/recenzii/player-cazino,2,687,,,,,,,https://beturi.ro/recenzie/player-casino/,9,132,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/player-bonus-fara-depunere/,8,167,,,,,,,https://10pariuri.ro/player-casino/,21,8,,,,,,,,,,,,,,,,,,,,,,,,,https://jucatorul.ro/cazino/recenzii/player-casino/,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17 18:06:27
winmaster,,9900,46,0.16,,,,,,,,,,https://pariurix.com/agentii/recenzii/winmasters/promotii,4,1,,,,,,,https://beturi.ro/oferte-cazino/winmasters-bonus-fara-depunere/,2,532,,,,,,,https://www.pontul-zilei.com/bonusuri-cazino/bonusuri-fara-depunere/winmasters-bonus-fara-depunere/,5,0,,,,,,,,,,,,,,,,,,,,,,,,,https://www.supercazino.ro/winmasters-casino/,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 13:19:15
loto pennsylvania,,9400,0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/loto-pennsylvania/,13,0,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-sua-pennsylvania-treasure-hunt-5-30/,9,2,,,,,,,https://www.supercazino.ro/loto-pennsylvania/,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24 16:58:47
ungaria putto,,9300,0,0.30,,,,,,,,,,https://pariurix.com/casino/loto/ungaria-putto.html,8,358,,,,,,,https://beturi.ro/ghid-pariuri/ungaria-putto/,3,1092,,,,,,,,,,,,,,,,https://10pariuri.ro/loto/ungaria-putto/,5,699,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-ungaria-putto-8-20/,9,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pariuri1x2.ro/noutati/loteria-ungaria-putto-8-20-te-asteapta-cu-extrageri-non-stop/,13,117,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22 03:58:41
anglia,"Top stories, Thumbnail, Video preview, Image pack",9200,13,0.03,,,,,,,,,,https://pariurix.com/promotii/oferte-pariuri-sportive/oferta-zilei-freebet-anglia-croatia.html,2,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17 07:32:14
loto polonia 20 din 80,,9200,53,0.44,,,,,,,,,,https://pariurix.com/casino/loto/polonia-multi-20-80.html,21,20,,,,,,,,,,,,,,,,,,,,,,,,,https://10pariuri.ro/loto-polonia-ce-este-si-cum-se-joaca/,10,234,,,,,,,https://biletu-zilei.com/loterii-internationale/loto-polonia-multi/,9,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-21 04:17:33
